label,prec,rec
信用卡数量限制,0.50,0.75
公司优势,1.00,1.00
合作银行,0.95,1.00
审核时间,1.00,0.95
客户提意见,0.98,0.98
客服不专业,0.98,0.98
已在使用,0.00,0.00
已有贷款,0.33,0.50
征信差或无资产,0.85,0.96
提交材料,0.93,0.95
是否上征信,1.00,0.91
是否机器人,1.00,1.00
是否真实,1.00,0.96
爱国爱党,1.00,1.00
私人信息,0.96,0.88
考虑,0.83,1.00
解释信用贷款,0.71,1.00
解释厘,1.00,1.00
解释省呗,0.96,0.93
询问信息来源,0.91,1.00
询问公司名称或地址,0.93,0.93
询问分期,0.92,0.85
询问利息,0.86,0.75
询问利率,0.93,0.87
询问如何还款,0.88,1.00
询问客服名字,0.71,0.83
询问手续费,1.00,0.92
询问抵押,1.00,0.80
询问是否安全,0.96,0.88
询问联系方式,1.00,1.00
询问贷款现金,1.00,0.97
询问贷款速度,0.71,1.00
询问身份或来意,0.95,0.95
询问额度,0.93,0.97
贷款速度快,0.00,0.00
软件怎么下载,1.00,1.00
额度是否循环,1.00,0.83
